"id","name","screen_name","description","followers_count","friends_count","favorites_count","listed_count","created_at"
626793,genetic soup,Joule,"This is about all I can say about myself in one line (except that I'm neither a dance club in Japan/restaurant in Texas, but instead a AD biomarker scientist).",251,766,5131,15,2007-01-11 00:00:00
2684451,Juan Diego Gutiérrez,enreas,"🤖 ""One is glad to be of service""",525,411,4641,50,2007-03-28 00:00:00
3657331,Derek Arnold,darnold0714,"dad, husband, grad student. likes: math, CS, music, open source, helping others improve; my tweets == my own",779,3430,9521,26,2007-04-06 00:00:00
5967922,El Hopaness Romtic,rayhatfield,"webdev, js, ui. chaperone to a deaf one-eared great dane. cyclist in remission. mostly political rage-tweeting lately. suffering from mild persistent panic.",446,863,35091,28,2007-05-11 00:00:00
6384982,John Pugh,zoopster,"I live in the sun, connect things, and sometimes catch fish.",788,708,314,293,2007-05-28 00:00:00
6772602,Mark Stephens,drfence,I am a Software Architect. I love the endless creative possibilities in the world of tech.,94,393,5439,8,2007-06-12 00:00:00
7208122,Helen Miller,hmiller3x,,299,1252,52331,0,2007-07-02 00:00:00
7483602,satishm,satishm,"B2B SaaS Product Leadership: Startup, Technology, Architecture, Cloud, Open source, Rubyist",358,1940,1030,24,2007-07-15 00:00:00
8749832,foxgrrl,foxgrrl,"I do hacker stuff, but I don't tweet about it much.",2607,4674,301072,75,2007-09-08 00:00:00
8798002,Jacob Palmer,palmer_jacob,"Life Coach. Pet Adoption Strategist. Sidewalk Hoser, Sightseeing Boat Operator",143,1416,15472,2,2007-09-10 00:00:00
9665142,Arthur Childs,artiedoc,"Father , Husband and Physician striving to practice  Medicine with Integrity and Living life to it's fullest potential.",176,1108,9493,10,2007-10-24 00:00:00
10021212,"Mike Moore, DO",MikeMooreDO,"@USArmy Family Medicine Physician, Paratrooper/Ranger/Aviator, former @Lancer_Brigade Surgeon. #TEDx Organizer, #meded/@ArmyMedicine Fanatic. Enemy of Bullsh*t.",12951,6273,11737,500,2007-11-06 00:00:00
10386022,J. Tod Fetherling,jtodwork,"Perception Health CEO, #Nashville #Health, #Technology, #Entrepreneur, Instructor, Writer, Speaker",4321,4946,1601,278,2007-11-19 00:00:00
13508282,Surabhi Gandotra,surabhigandotra,Work-In-Progress,350,1418,2961,10,2008-02-15 00:00:00
14109794,Empress Eve,eveofdoom,"Editor of Geeks of Doom, heavy metal-lovin', headbanging, bass-playing, veg*n chick obsessed with Geek pop culture. Never tell me the odds.",3150,2401,22032,174,2008-03-09 00:00:00
14177942,Ms. Magazine,MsMagazine,"We've been reporting, rebelling and truth-telling from the feminist front lines for over 45 years. Get the magazine: http://bit.ly/1R5RoFp",146809,2221,2765,3671,2008-03-19 00:00:00
14285511,Seth Brower,Seth_Brower,"Compositor in LA, working on TV & Film (The Muppets, Black Swan, The Flash, and many others). Now to find things to do in my down time.",405,316,39175,39,2008-04-02 00:00:00
14530904,Cindy Ecksol,CindyEcksol,"Musician, political advisor and metanomics junkie in Second Life. First Amendment rabble-rouse in RL. And former Republican who no longer recognizes the party.",183,123,15294,12,2008-04-25 00:00:00
14554753,vaccine haver,kerrence,old woman yells at sports ||  #wxtwitter || Simpsons & Star Wars refs || #LetsGo,1601,769,100772,120,2008-04-26 00:00:00
14739820,Kate O'Neil,Sonicbug,"Art, book, video game enthusiast, I can make print happen. I write reviews. More Anime & Manga and thoughts thereof at: http://fandompost.com",239,208,2307,11,2008-05-11 00:00:00
14951858,Roger Quintana,RolyPolyRogie,reachin zen 🇨🇱,226,842,7134,4,2008-05-30 00:00:00
14999683,Allyson Bills,allysonbills,,690,1783,5760,20,2008-06-03 00:00:00
15063192,Mike Silva,mikesilva,"Uh, yeah. You're not a liberal. *I'm* a liberal.

Thoughts are my own.",81,500,883,5,2008-06-09 00:00:00
15074489,The Ethical Hacker Network | EH-Net,ethicalhacker,Free Online Magazine for Security Pros with an active community ready & willing to help your career 🖱 Click to get your Free PTS training: https://t.co/TiaXjefSPi,8012,565,419,482,2008-06-10 00:00:00
15076199,PermanensUrsus,grierhiggins,"A 210cm tall Mexican meteorology connoisseur patiently waiting on the asteroid that will fix all of this.
Nothing I tweet should be considered financial advice",171,585,3821,0,2008-06-10 00:00:00
15082707,Jonathan Winter,speedsailor,"Researcher, Futurist, Designer. Expert on Talent, Careers & the Future of Work. Director at @careerinnovator, co-founder of @pci360. And a sailor!",591,530,277,40,2008-06-11 00:00:00
15131213,Nate Nakao,natenakao,Director of @jerseybrewtheo // Member of #BrewTheology Network // @NYCHabs organizer #GoHabsGo #COYG #BVB #SamuraiBlue #RivsNation,803,1010,4031,32,2008-06-16 00:00:00
15158098,ndoto,ndoto,"Despite everything, it's still me. Alignment: Quixotic Good. Friendship really is magic. He/Him. Icon: @setenza_art. 3DS: 4038-6001-4289. Switch: 7136-9185-2420",646,1159,52125,52,2008-06-18 00:00:00
15165450,News On 6,NewsOn6,"News On 6 / http://newson6.com KOTV Tulsa, Oklahoma",129959,5847,3043,897,2008-06-18 00:00:00
15172281,Megan,megw519,"Liberal, Illini grad, ❤️of Cubs 🐻⚾️, ND 🏈, travel, food, wine and craft beer.",2272,2284,68542,22,2008-06-19 00:00:00
